Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
nourishing-cleanser,Nourishing Cleanser,"<p>A gentle gel cleanser that dissolves impurities without stripping the skin's natural barrier. Formulated with squalane and ceramides to leave skin feeling soft and balanced.</p>",Elora,Face,cleanser face skincare,true,Size,100 ml / 3.4 fl. oz.,SKU-CLNSR-100,50,deny,manual,38.00,,true,true,active
nourishing-cleanser,Nourishing Cleanser,"<p>A gentle gel cleanser that dissolves impurities without stripping the skin's natural barrier. Formulated with squalane and ceramides to leave skin feeling soft and balanced.</p>",Elora,Face,cleanser face skincare,true,Size,200 ml / 6.8 fl. oz.,SKU-CLNSR-200,50,deny,manual,58.00,,true,true,active
daily-hydration-gel,Daily Hydration Gel,"<p>A lightweight gel moisturizer that delivers instant hydration and helps maintain a healthy, radiant complexion. Powered by hyaluronic acid and aloe vera for plump, dewy skin.</p>",Elora,Face,moisturizer face hydration,true,Size,50 ml / 1.7 fl. oz.,SKU-GEL-50,50,deny,manual,42.00,,true,true,active
daily-hydration-gel,Daily Hydration Gel,"<p>A lightweight gel moisturizer that delivers instant hydration and helps maintain a healthy, radiant complexion. Powered by hyaluronic acid and aloe vera for plump, dewy skin.</p>",Elora,Face,moisturizer face hydration,true,Size,100 ml / 3.4 fl. oz.,SKU-GEL-100,50,deny,manual,68.00,,true,true,active
glow-drops-serum,Glow Drops Serum,"<p>A brightening treatment serum that fades dark spots and evens skin tone. Niacinamide and kakadu plum work together for a visible glow in two weeks.</p>",Elora,Face,serum face brightening,true,Size,30 ml / 1.0 fl. oz.,SKU-SRM-30,50,deny,manual,52.00,,true,true,active
glow-drops-serum,Glow Drops Serum,"<p>A brightening treatment serum that fades dark spots and evens skin tone. Niacinamide and kakadu plum work together for a visible glow in two weeks.</p>",Elora,Face,serum face brightening,true,Size,50 ml / 1.7 fl. oz.,SKU-SRM-50,30,deny,manual,78.00,,true,true,active
airy-sun-fluid-spf-50,Airy Sun Fluid SPF 50,"<p>A broad-spectrum SPF 50 sunscreen that feels weightless and leaves no white cast. Chemical and mineral hybrid formula sits beautifully under makeup.</p>",Elora,Face,sunscreen spf face protection,true,Size,50 ml / 1.7 fl. oz.,SKU-SPF-50,60,deny,manual,42.00,,true,true,active
restorative-night-cream,Restorative Night Cream,"<p>A rich overnight treatment that works with your skin's natural repair cycle. Retinal, peptides, and shea butter restore firmness and smooth texture while you sleep.</p>",Elora,Face,moisturizer face night,true,Size,50 ml / 1.7 fl. oz.,SKU-NTC-50,40,deny,manual,65.00,,true,true,active
restorative-night-cream,Restorative Night Cream,"<p>A rich overnight treatment that works with your skin's natural repair cycle. Retinal, peptides, and shea butter restore firmness and smooth texture while you sleep.</p>",Elora,Face,moisturizer face night,true,Size,100 ml / 3.4 fl. oz.,SKU-NTC-100,30,deny,manual,98.00,,true,true,active
balancing-toner,Balancing Toner,"<p>A weightless essence that refines pores and balances skin's pH after cleansing. Centella asiatica and glycolic acid gently resurface for a smoother, more even complexion.</p>",Elora,Face,toner face balance,true,Size,150 ml / 5.1 fl. oz.,SKU-TNR-150,45,deny,manual,35.00,,true,true,active
body-lotion,Body Lotion,"<p>A nourishing everyday body lotion that absorbs quickly and keeps skin soft for 24 hours. Shea butter and niacinamide improve skin tone and texture with consistent use.</p>",Elora,Body,body lotion moisturizer,true,Size,250 ml / 8.4 fl. oz.,SKU-BDL-250,60,deny,manual,38.00,,true,true,active
body-lotion,Body Lotion,"<p>A nourishing everyday body lotion that absorbs quickly and keeps skin soft for 24 hours. Shea butter and niacinamide improve skin tone and texture with consistent use.</p>",Elora,Body,body lotion moisturizer,true,Size,500 ml / 16.9 fl. oz.,SKU-BDL-500,40,deny,manual,58.00,,true,true,active
body-oil,Body Oil,"<p>A dry oil blend of rosehip, squalane, and jojoba that sinks in instantly without grease. Use after showering for skin that looks lit from within.</p>",Elora,Body,body oil dry-oil,true,Size,100 ml / 3.4 fl. oz.,SKU-BOL-100,35,deny,manual,45.00,,true,true,active
eau-de-parfum,Eau de Parfum,"<p>A soft skin-scent that lingers without overwhelming. Notes of warm sandalwood, white musk, and a hint of peach blossom — made for wearing close to the skin.</p>",Elora,Fragrance,fragrance perfume scent,true,Size,30 ml / 1.0 fl. oz.,SKU-EDP-30,25,deny,manual,88.00,,true,true,active
eau-de-parfum,Eau de Parfum,"<p>A soft skin-scent that lingers without overwhelming. Notes of warm sandalwood, white musk, and a hint of peach blossom — made for wearing close to the skin.</p>",Elora,Fragrance,fragrance perfume scent,true,Size,50 ml / 1.7 fl. oz.,SKU-EDP-50,20,deny,manual,128.00,,true,true,active
